id,name,cat_id,category,sub_cat_id,subcategory,four_letter,letter_1,letter_2,letter_3,letter_4,birth_date
376,Derek Jeter,5,Sports,11,Baseball,ISTJ,I,S,T,J,1974-06-26
31023,Ichiro Suzuki,5,Sports,11,Baseball,ISTP,I,S,T,P,1973-10-22
25299,Trevor Bauer,5,Sports,11,Baseball,ENTP,E,N,T,P,1991-01-17
40744,Zack Greinke,5,Sports,11,Baseball,INTP,I,N,T,P,1983-10-21
6611,Babe Ruth,5,Sports,11,Baseball,ESTP,E,S,T,P,1895-02-06
87393,Shohei Ohtani,5,Sports,11,Baseball,ISFP,I,S,F,P,1994-07-05
377,"Alex Rodriguez ""A-Rod""",5,Sports,11,Baseball,ESTP,E,S,T,P,
10139,Ty Cobb,5,Sports,11,Baseball,ESTP,E,S,T,P,1886-12-18
378,Barry Bonds,5,Sports,11,Baseball,ISTP,I,S,T,P,1964-07-24
10143,Bryce Harper,5,Sports,11,Baseball,ESTP,E,S,T,P,1992-10-16
10141,Yogi Berra,5,Sports,11,Baseball,ISTP,I,S,T,P,1925-05-12
65862,Ted Williams,5,Sports,11,Baseball,ISTP,I,S,T,P,1918-08-30
5368,Mike Trout,5,Sports,11,Baseball,ISTJ,I,S,T,J,1991-08-07
23258,Jackie Robinson,5,Sports,11,Baseball,ISTP,I,S,T,P,1927-04-26
380,Curt Schilling,5,Sports,11,Baseball,ESTJ,E,S,T,J,1966-11-14
18527,"David ""Big Papi"" Ortiz",5,Sports,11,Baseball,ESFP,E,S,F,P,
5369,Clayton Kershaw,5,Sports,11,Baseball,ESFJ,E,S,F,J,1988-03-19
18408,Jose Canseco,5,Sports,11,Baseball,ESTP,E,S,T,P,1964-07-02
18524,Randy Johnson,5,Sports,11,Baseball,ISTP,I,S,T,P,1963-09-10
57006,Jose Altuve,5,Sports,11,Baseball,ESFP,E,S,F,P,1990-05-06
65824,Tony La Russa,5,Sports,11,Baseball,ENTJ,E,N,T,J,1944-10-04
379,Mark McGwire,5,Sports,11,Baseball,ISTJ,I,S,T,J,1963-10-01
20047,Ken Griffey Jr.,5,Sports,11,Baseball,ISFJ,I,S,F,J,1969-11-21
62004,Giancarlo Stanton,5,Sports,11,Baseball,ISTP,I,S,T,P,1989-11-08
63322,Andrew McCutchen,5,Sports,11,Baseball,ENFP,E,N,F,P,1986-10-10
65849,Joe DiMaggio,5,Sports,11,Baseball,ISTP,I,S,T,P,1914-11-25
18526,Pedro Martinez,5,Sports,11,Baseball,ESFP,E,S,F,P,
64986,Alex Cora,5,Sports,11,Baseball,INTJ,I,N,T,J,1973-10-18
71677,Yu Darvish,5,Sports,11,Baseball,ISFP,I,S,F,P,1986-08-16
110979,Munenori Kawasaki,5,Sports,11,Baseball,ESFP,E,S,F,P,1981-06-03
10140,Carlton Fisk,5,Sports,11,Baseball,ENTJ,E,N,T,J,1947-12-26
18525,Greg Maddux,5,Sports,11,Baseball,INTJ,I,N,T,J,1966-04-14
57637,Miguel Cabrera,5,Sports,11,Baseball,ESFP,E,S,F,P,1695-05-27
62001,Joe Girardi,5,Sports,11,Baseball,ESTJ,E,S,T,J,1964-10-14
63315,Max Scherzer,5,Sports,11,Baseball,ENTP,E,N,T,P,
64201,Juan Soto,5,Sports,11,Baseball,ISFJ,I,S,F,J,1998-10-25
66120,Josh Donaldson,5,Sports,11,Baseball,ESFP,E,S,F,P,1985-12-08
10144,Yadier Molina,5,Sports,11,Baseball,ESTJ,E,S,T,J,1982-07-13
18528,Manny Machado,5,Sports,11,Baseball,ESTP,E,S,T,P,1992-07-06
18529,Mike Piazza,5,Sports,11,Baseball,ISTP,I,S,T,P,1968-09-04
57107,Nolan Arenado,5,Sports,11,Baseball,ENTJ,E,N,T,J,1991-04-16
57634,Albert Pujols,5,Sports,11,Baseball,ISTP,I,S,T,P,1980-01-16
62003,Aaron Judge,5,Sports,11,Baseball,ISFP,I,S,F,P,1992-04-26
62018,Manny Ramirez,5,Sports,11,Baseball,ENFP,E,N,F,P,1972-05-30
63695,Cody Bellinger,5,Sports,11,Baseball,ISFP,I,S,F,P,1995-07-13
70284,Aroldis Chapman,5,Sports,11,Baseball,ISFP,I,S,F,P,1988-02-28
70965,Bo Jackson,5,Sports,11,Baseball,ISTJ,I,S,T,J,1962-11-30
72832,Fernando Tatís Jr.,5,Sports,11,Baseball,ESFP,E,S,F,P,1999-01-02
